,,,EleD_01,HydD1,EleD_02,EleD_03,EleD_04,EleD_05,EleD_06,EleD_07,EleD_08,EleD_09,EleD_10
period1,sc01,t0077, 0.221945941728841 ,, 0.189581643188216 , 0.227906582444498 , 0.223290463884717 , 0.235377477290323 , 0.261148854676096 , 3.4338614495275 , 3.65705598666317 , 0.253165843853194 , 3.40428357045088 
period1,sc01,t0078, 0.201081368670288 ,, 0.225298151164474 , 0.236884119187009 , 0.220845158088517 , 0.244872800260019 , 3.59326640485638 , 4.04824558418389 , 0.234735564727488 , 3.9815368025839 , 0.234041261157063 
period1,sc01,t0079, 0.220070472374475 ,, 0.192258430283118 , 0.237806171574451 , 0.524857955120564 , 0.23109937531734 , 2.19842282736592 , 3.51338827322719 , 0.246671161910736 , 0.251439512703979 , 3.70895431702536 
period1,sc01,t0080, 0.21492745582401 ,, 0.206407693681164 , 0.243672262287367 , 0.206237935357166 , 0.211465615106895 , 5.99103782427632 , 3.31630826008755 , 0.246233996791656 , 0.53775223846228 , 2.0205142477943 
period1,sc01,t0081, 0.225204304129108 ,, 0.405284456138969 , 0.493786019442421 , 0.30464766347977 , 3.83032902786535 , 3.54461816055403 , 5.70924533032522 , 3.01399016036971 , 0.563753482477725 , 0.230383772756234 
period1,sc01,t0082, 0.200591641441014 ,, 0.22048157527863 , 0.216829841237918 , 0.210951652228309 , 3.52500796843109 , 0.266229665496053 , 0.262789064271182 , 3.3535297468357 , 0.257650315443353 , 0.228370751500032 
period1,sc01,t0083, 0.219871988954852 ,, 0.204088808326221 , 0.317950152735081 , 0.238210797719941 , 0.316011966223525 , 3.57756858085688 , 0.257638962661164 , 3.94954199252226 , 0.252756992902943 , 3.19738406474945 
period1,sc01,t0084, 0.294923290130734 ,, 0.208009125450726 , 0.304006699897471 , 0.321066998431479 , 0.347225610694936 , 0.26473615552511 , 3.56353162865826 , 0.264426963284894 , 3.73223919708963 , 0.269342050675366 
period1,sc01,t0085, 0.310839347033835 ,, 0.199109217086916 , 0.234413412501857 , 0.241947973634883 , 0.315607945836459 , 3.75794652855259 , 3.26043191213651 , 0.241800318094985 , 0.257634620260674 , 0.253582732674924 
period1,sc01,t0086, 0.215777364483957 ,, 3.65819734533209 , 0.226950979772427 , 0.473938764813945 , 0.467608070417213 , 0.254547573761107 , 0.230224718239298 , 3.24131714805817 , 2.64170079205899 , 5.51034480740126 
period1,sc01,t0087, 0.218096941195735 ,, 0.223300345749255 , 0.313384292015919 , 3.65443083611686 , 0.205403302456317 , 3.58072852157023 , 3.64525343910385 , 3.72483401442666 , 3.69745477122973 , 3.7028267832305 
period1,sc01,t0088, 0.301132823367412 ,, 0.213191310924557 , 0.340497841184225 , 0.245817184228347 , 0.313383290008258 , 3.29821118229581 , 3.85592426104524 , 0.241293346557206 , 3.99839981400986 , 3.27024298519573 
period1,sc01,t0089, 0.22656754011934 ,, 0.217981116385522 , 0.29556129988914 , 0.330916973664647 , 0.210591748723605 , 0.272581166460313 , 0.252073653659772 , 3.72156780823427 , 0.258851200148282 , 0.255865623103118 
period1,sc01,t0090, 0.200129970494592 ,, 0.401760535151769 , 0.555269384074817 , 0.296787210804495 , 0.506441865236889 , 0.709676258360841 , 3.46689162561902 , 3.58789748171402 , 3.91614414042285 , 0.229033362359695 
