,,,EleR_01,HydR_01
period1,sc01,t0590, 0.259026167 ,
period1,sc01,t0591, 0.232219167 ,
period1,sc01,t0592, 0.230474167 ,
period1,sc01,t0593, 0.234945667 ,
period1,sc01,t0594, 0.240349167 ,
period1,sc01,t0595, 0.22587 ,
period1,sc01,t0596, 0.209828833 ,
period1,sc01,t0597, 0.2031665 ,
period1,sc01,t0598, 0.1967545 ,
period1,sc01,t0599, 0.178546333 ,
period1,sc01,t0600, 0.167536833 ,
period1,sc01,t0601, 0.1572365 ,
period1,sc01,t0602, 0.152229667 ,
period1,sc01,t0603, 0.1474915 ,
period1,sc01,t0604, 0.147658833 ,
period1,sc01,t0605, 0.1523935 ,
period1,sc01,t0606, 0.157487 ,
period1,sc01,t0607, 0.1674605 ,
period1,sc01,t0608, 0.174655167 ,
period1,sc01,t0609, 0.179678333 ,
period1,sc01,t0610, 0.179581667 ,
period1,sc01,t0611, 0.179670667 ,
period1,sc01,t0612, 0.179095333 ,
period1,sc01,t0613, 0.177633667 ,
period1,sc01,t0614, 0.177261667 ,
period1,sc01,t0615, 0.177367667 ,
period1,sc01,t0616, 0.177863333 ,
period1,sc01,t0617, 0.180454 ,
period1,sc01,t0618, 0.1824105 ,
period1,sc01,t0619, 0.179398833 ,
period1,sc01,t0620, 0.173972 ,
period1,sc01,t0621, 0.171098333 ,
period1,sc01,t0622, 0.168527167 ,
period1,sc01,t0623, 0.161655 ,
period1,sc01,t0624, 0.1487605 ,
period1,sc01,t0625, 0.1363475 ,
period1,sc01,t0626, 0.133169667 ,
period1,sc01,t0627, 0.128470167 ,
period1,sc01,t0628, 0.130810667 ,
period1,sc01,t0629, 0.129282333 ,
period1,sc01,t0630, 0.141459333 ,
period1,sc01,t0631, 0.155723667 ,
period1,sc01,t0632, 0.164237167 ,
period1,sc01,t0633, 0.166413 ,
period1,sc01,t0634, 0.165416167 ,
period1,sc01,t0635, 0.165752167 ,
period1,sc01,t0636, 0.1640915 ,
period1,sc01,t0637, 0.163010833 ,
period1,sc01,t0638, 0.16365 ,
period1,sc01,t0639, 0.163643833 ,
period1,sc01,t0640, 0.163312333 ,
period1,sc01,t0641, 0.165261667 ,
period1,sc01,t0642, 0.167687667 ,
period1,sc01,t0643, 0.165733667 ,
period1,sc01,t0644, 0.162953667 ,
period1,sc01,t0645, 0.160193667 ,
period1,sc01,t0646, 0.1585195 ,
period1,sc01,t0647, 0.151214 ,
period1,sc01,t0648, 0.139650333 ,
period1,sc01,t0649, 0.1395975 ,
period1,sc01,t0650, 0.135265833 ,
period1,sc01,t0651, 0.132065333 ,
period1,sc01,t0652, 0.131808667 ,
period1,sc01,t0653, 0.133205 ,
period1,sc01,t0654, 0.1507505 ,
period1,sc01,t0655, 0.159103333 ,
period1,sc01,t0656, 0.1628895 ,
period1,sc01,t0657, 0.165796 ,
period1,sc01,t0658, 0.164967 ,
period1,sc01,t0659, 0.1647715 ,
period1,sc01,t0660, 0.163663 ,
period1,sc01,t0661, 0.162663 ,
period1,sc01,t0662, 0.162832333 ,
period1,sc01,t0663, 0.162390833 ,
period1,sc01,t0664, 0.163054667 ,
period1,sc01,t0665, 0.1645765 ,
period1,sc01,t0666, 0.1684505 ,
period1,sc01,t0667, 0.1654805 ,
period1,sc01,t0668, 0.162509167 ,
period1,sc01,t0669, 0.159488333 ,
period1,sc01,t0670, 0.158122 ,
period1,sc01,t0671, 0.152855833 ,
period1,sc01,t0672, 0.148493667 ,
