Period,Scenario,LoadLevel,Sell,Date
period1,sc01,t2818,6.592575261,2025-04-28 10:27:00
period1,sc01,t4335,6.591736356999999,2025-06-30 15:27:00
period1,sc01,t7285,6.586592082,2025-10-31 13:27:00
period1,sc01,t1429,6.575927168,2025-03-01 13:27:00
period1,sc01,t3854,6.575463814,2025-06-10 14:27:00
period1,sc01,t3897,6.5750769604,2025-06-12 09:27:00
period1,sc01,t3778,6.5698165500000005,2025-06-07 10:27:00
period1,sc01,t5748,6.566856820000001,2025-08-28 12:27:00
period1,sc01,t5196,6.565565060000001,2025-08-05 12:27:00
period1,sc01,t7309,6.564918356000001,2025-11-01 13:27:00
period1,sc01,t3925,6.5639180798000005,2025-06-13 13:27:00
period1,sc01,t4906,6.562006619999999,2025-07-24 10:27:00
period1,sc01,t4258,6.552810456,2025-06-27 10:27:00
period1,sc01,t4981,6.5443674750000005,2025-07-27 13:27:00
period1,sc01,t5102,6.541148242,2025-08-01 14:27:00
period1,sc01,t4883,6.539560671,2025-07-23 11:27:00
period1,sc01,t2703,6.535440578,2025-04-23 15:27:00
period1,sc01,t3105,6.527578886,2025-05-10 09:27:00
period1,sc01,t4450,6.509461734,2025-07-05 10:27:00
period1,sc01,t3825,6.499944783,2025-06-09 09:27:00
period1,sc01,t4596,6.496486980999999,2025-07-11 12:27:00
period1,sc01,t2532,6.495452672,2025-04-16 12:27:00
period1,sc01,t6468,6.494210082,2025-09-27 12:27:00
period1,sc01,t4210,6.480053165999999,2025-06-25 10:27:00
period1,sc01,t3177,6.479134003,2025-05-13 09:27:00
period1,sc01,t3901,6.4716763489,2025-06-12 13:27:00
period1,sc01,t6014,6.469286618,2025-09-08 14:27:00
period1,sc01,t5701,6.4681390919999995,2025-08-26 13:27:00
period1,sc01,t4813,6.467380282,2025-07-20 13:27:00
period1,sc01,t6013,6.465216987,2025-09-08 13:27:00
period1,sc01,t2652,6.446919532,2025-04-21 12:27:00
period1,sc01,t2673,6.433463988,2025-04-22 09:27:00
period1,sc01,t2434,6.431384887899999,2025-04-12 10:27:00
period1,sc01,t5529,6.4229818309999995,2025-08-19 09:27:00
period1,sc01,t6229,6.421846572,2025-09-17 13:27:00
period1,sc01,t1884,6.41886517,2025-03-20 12:27:00
period1,sc01,t6009,6.417063678,2025-09-08 09:27:00
period1,sc01,t4887,6.414972393999999,2025-07-23 15:27:00
period1,sc01,t2961,6.405821274999999,2025-05-04 09:27:00
period1,sc01,t3711,6.396938287,2025-06-04 15:27:00
period1,sc01,t3111,6.394650265999999,2025-05-10 15:27:00
period1,sc01,t5127,6.3777672889999995,2025-08-02 15:27:00
period1,sc01,t5007,6.377749952,2025-07-28 15:27:00
period1,sc01,t6539,6.377046328,2025-09-30 11:27:00
period1,sc01,t2366,6.374572309,2025-04-09 14:27:00
period1,sc01,t2988,6.372137909999999,2025-05-05 12:27:00
period1,sc01,t6015,6.359039106,2025-09-08 15:27:00
period1,sc01,t2026,6.347842871999999,2025-03-26 10:27:00
period1,sc01,t5247,6.329768583,2025-08-07 15:27:00
period1,sc01,t6179,6.328295666,2025-09-15 11:27:00
period1,sc01,t5463,6.318699903,2025-08-16 15:27:00
period1,sc01,t1882,6.316182165,2025-03-20 10:27:00
period1,sc01,t4475,6.310709236999999,2025-07-06 11:27:00
period1,sc01,t6374,6.30475325,2025-09-23 14:27:00
period1,sc01,t5435,6.301432793,2025-08-15 11:27:00
period1,sc01,t2869,6.295264835,2025-04-30 13:27:00
period1,sc01,t6949,6.292058642,2025-10-17 13:27:00
period1,sc01,t5677,6.268787763,2025-08-25 13:27:00
