Period,Scenario,LoadLevel,Date,MWh,KWh,Type
period1,sc01,t0298,2025-01-13 10:27:00,-2.7217540729999996,-2.7217540729999996,NetDemand
period1,sc01,t0299,2025-01-13 11:27:00,-4.9848754589999995,-4.9848754589999995,NetDemand
period1,sc01,t0300,2025-01-13 12:27:00,-1.594969691,-1.594969691,NetDemand
period1,sc01,t0301,2025-01-13 13:27:00,-2.0140911569999997,-2.0140911569999997,NetDemand
period1,sc01,t0302,2025-01-13 14:27:00,-1.6797781890000008,-1.6797781890000008,NetDemand
period1,sc01,t0303,2025-01-13 15:27:00,-3.560605978,-3.560605978,NetDemand
period1,sc01,t0304,2025-01-13 16:27:00,-3.100349162,-3.100349162,NetDemand
period1,sc01,t0305,2025-01-13 17:27:00,-4.212,-4.212,NetDemand
period1,sc01,t0306,2025-01-13 18:27:00,-2.9880000000000004,-2.9880000000000004,NetDemand
period1,sc01,t0307,2025-01-13 19:27:00,-2.737,-2.737,NetDemand
period1,sc01,t0308,2025-01-13 20:27:00,-6.273,-6.273,NetDemand
period1,sc01,t0309,2025-01-13 21:27:00,-3.9610000000000003,-3.9610000000000003,NetDemand
period1,sc01,t0310,2025-01-13 22:27:00,-5.4990000000000006,-5.4990000000000006,NetDemand
period1,sc01,t0311,2025-01-13 23:27:00,-2.814,-2.814,NetDemand
