Period,Scenario,LoadLevel,TotalOutput,Date
period1,sc01,t6205,7.301003073,2025-09-16 13:27:00
period1,sc01,t3687,7.299749959,2025-06-03 15:27:00
period1,sc01,t5774,7.296027372,2025-08-29 14:27:00
period1,sc01,t2890,7.281653852,2025-05-01 10:27:00
period1,sc01,t4479,7.278085579,2025-07-06 15:27:00
period1,sc01,t5123,7.266010849,2025-08-02 11:27:00
period1,sc01,t3753,7.262415023,2025-06-06 09:27:00
period1,sc01,t5775,7.261073544,2025-08-29 15:27:00
period1,sc01,t4549,7.259959687,2025-07-09 13:27:00
period1,sc01,t3057,7.256064771,2025-05-08 09:27:00
period1,sc01,t6012,7.254825812,2025-09-08 12:27:00
period1,sc01,t2747,7.251993722,2025-04-25 11:27:00
period1,sc01,t4599,7.251161238,2025-07-11 15:27:00
