Period,Scenario,LoadLevel,Demand,Type,KWh,Date
period1,sc01,t0301,EleD_01,BaseDemand,3.24,2025-01-13 13:27:00
period1,sc01,t0302,EleD_01,BaseDemand,3.74,2025-01-13 14:27:00
period1,sc01,t0303,EleD_01,BaseDemand,2.85,2025-01-13 15:27:00
period1,sc01,t0304,EleD_01,BaseDemand,3.98,2025-01-13 16:27:00
period1,sc01,t0305,EleD_01,BaseDemand,3.24,2025-01-13 17:27:00
period1,sc01,t0306,EleD_01,BaseDemand,3.96,2025-01-13 18:27:00
period1,sc01,t0307,EleD_01,BaseDemand,3.91,2025-01-13 19:27:00
period1,sc01,t0308,EleD_01,BaseDemand,5.1,2025-01-13 20:27:00
period1,sc01,t0309,EleD_01,BaseDemand,5.23,2025-01-13 21:27:00
period1,sc01,t0310,EleD_01,BaseDemand,4.23,2025-01-13 22:27:00
period1,sc01,t0311,EleD_01,BaseDemand,4.02,2025-01-13 23:27:00
period1,sc01,t0312,EleD_01,BaseDemand,9.34,2025-01-14 00:27:00
period1,sc01,t0313,EleD_01,BaseDemand,7.72,2025-01-14 01:27:00
period1,sc01,t0314,EleD_01,BaseDemand,7.99,2025-01-14 02:27:00
period1,sc01,t0315,EleD_01,BaseDemand,7.84,2025-01-14 03:27:00
period1,sc01,t0316,EleD_01,BaseDemand,7.83,2025-01-14 04:27:00
period1,sc01,t0317,EleD_01,BaseDemand,8.74,2025-01-14 05:27:00
period1,sc01,t0318,EleD_01,BaseDemand,8.44,2025-01-14 06:27:00
period1,sc01,t0319,EleD_01,BaseDemand,7.99,2025-01-14 07:27:00
period1,sc01,t0320,EleD_01,BaseDemand,7.93,2025-01-14 08:27:00
period1,sc01,t0321,EleD_01,BaseDemand,8.73,2025-01-14 09:27:00
period1,sc01,t0322,EleD_01,BaseDemand,8.42,2025-01-14 10:27:00
period1,sc01,t0323,EleD_01,BaseDemand,4.83,2025-01-14 11:27:00
period1,sc01,t0324,EleD_01,BaseDemand,4.41,2025-01-14 12:27:00
period1,sc01,t0325,EleD_01,BaseDemand,10.89,2025-01-14 13:27:00
period1,sc01,t0326,EleD_01,BaseDemand,10.85,2025-01-14 14:27:00
period1,sc01,t0327,EleD_01,BaseDemand,7.4,2025-01-14 15:27:00
period1,sc01,t0328,EleD_01,BaseDemand,10.49,2025-01-14 16:27:00
period1,sc01,t0329,EleD_01,BaseDemand,7.44,2025-01-14 17:27:00
period1,sc01,t0330,EleD_01,BaseDemand,10.11,2025-01-14 18:27:00
period1,sc01,t0331,EleD_01,BaseDemand,11.52,2025-01-14 19:27:00
period1,sc01,t0332,EleD_01,BaseDemand,12.12,2025-01-14 20:27:00
period1,sc01,t0333,EleD_01,BaseDemand,12.89,2025-01-14 21:27:00
period1,sc01,t0334,EleD_01,BaseDemand,8.57,2025-01-14 22:27:00
period1,sc01,t0335,EleD_01,BaseDemand,7.92,2025-01-14 23:27:00
period1,sc01,t0336,EleD_01,BaseDemand,8.19,2025-01-15 00:27:00
period1,sc01,t0337,EleD_01,BaseDemand,8.5,2025-01-15 01:27:00
